"path","name","ext","bytes","MB"
"Assets/Audio/Music/COTFW_background.wav","COTFW_background.wav",".wav","152010558","144.97"
"Assets/Follower/follower_idle.png","follower_idle.png",".png","12002976","11.45"
"Assets/Environment/Doors/yellow_wing_door.png","yellow_wing_door.png",".png","2843305","2.71"
"Assets/Environment/Doors/boss_wing_door.png","boss_wing_door.png",".png","2838852","2.71"
"Assets/UI/threadbound_icon.png","threadbound_icon.png",".png","2790969","2.66"
"Assets/Environment/Doors/blue_wing_door.png","blue_wing_door.png",".png","2535952","2.42"
"Assets/Environment/Doors/red_wing_door.png","red_wing_door.png",".png","2360477","2.25"
"Assets/Threadborne/Dash/dash_frame.png","dash_frame.png",".png","2254890","2.15"
"Assets/UI/controller/controller_background.png","controller_background.png",".png","2220035","2.12"
"Assets/UI/Examples/main_menu_example_graphics.png","main_menu_example_graphics.png",".png","2035920","1.94"
"Assets/UI/Hud/hp_bar_texture_white.png","hp_bar_texture_white.png",".png","1964121","1.87"
"Assets/UI/Examples/weave_example.png","weave_example.png",".png","1946743","1.86"
"Assets/UI/Examples/main_menu_example_gameplay.png","main_menu_example_gameplay.png",".png","1939014","1.85"
"Assets/Environment/Blossom of Eryndor/f507544c-5aa4-4589-8ec1-6b3f84cc0b7b.png","f507544c-5aa4-4589-8ec1-6b3f84cc0b7b.png",".png","1933909","1.84"
"Assets/UI/Examples/main_menu_example_audio.png","main_menu_example_audio.png",".png","1880660","1.79"
"Assets/UI/Main Menu/inventory_frame.png","inventory_frame.png",".png","1806011","1.72"
"Assets/Environment/yellow_portal.png","yellow_portal.png",".png","1787229","1.7"
"Assets/UI/Examples/inventory_example.png","inventory_example.png",".png","1756775","1.68"
"Assets/chamber_of_first_weave/Threads/614f92ce-238b-4637-a573-a6a816f7537b.png","614f92ce-238b-4637-a573-a6a816f7537b.png",".png","1732123","1.65"
"Assets/chamber_of_first_weave/Tiles/_archive/generated_versions/graphic_painterly_passes/cotfw_chamber_tileset_atlas_256_graphic_v1.png","cotfw_chamber_tileset_atlas_256_graphic_v1.png",".png","1682462","1.6"
"Assets/UI/Main Menu/main_menu_buttons_ref.png","main_menu_buttons_ref.png",".png","1653460","1.58"
"Assets/UI/Game Over Screen/game_over_end_frame.png","game_over_end_frame.png",".png","1548147","1.48"
"Assets/UI/Examples/weave_example_menu_only.png","weave_example_menu_only.png",".png","1458360","1.39"
"Assets/Enemys/proto_weaver/prototype_weaver_base.png","prototype_weaver_base.png",".png","1443280","1.38"
"Assets/UI/Examples/blossum_menu_example.png","blossum_menu_example.png",".png","1399826","1.33"
"Assets/chamber_of_first_weave/Tiles/_archive/generated_versions/readable_passes/cotfw_chamber_tileset_readable_v1_compare.png","cotfw_chamber_tileset_readable_v1_compare.png",".png","1373726","1.31"
"Assets/chamber_of_first_weave/Tiles/_archive/generated_versions/readable_passes/cotfw_chamber_tileset_readable_v2_compare.png","cotfw_chamber_tileset_readable_v2_compare.png",".png","1365679","1.3"
"Assets/Environment/Blossom of Eryndor/BOE Sheet.png","BOE Sheet.png",".png","1263000","1.2"
"Assets/UI/Main Menu/merchant_menu_buttons.png","merchant_menu_buttons.png",".png","1240973","1.18"
"Assets/Enemys/Tensioner/Tensioner_Base.png","Tensioner_Base.png",".png","1187944","1.13"
"Assets/chamber_of_first_weave/Tiles/_archive/diagnostics/cotfw_tileset_current_diagnostic.png","cotfw_tileset_current_diagnostic.png",".png","1140607","1.09"
"Assets/UI/Game Over Screen/game_over_start_frame.png","game_over_start_frame.png",".png","1075008","1.03"
"Assets/UI/mouse_pointer.png","mouse_pointer.png",".png","1068951","1.02"
"Assets/Follower/Base.png","Base.png",".png","771035","0.74"
"Assets/Enemys/proto_weaver/boss_hp_bar_example.png","boss_hp_bar_example.png",".png","728213","0.69"
"Assets/Enemys/Loomkin/loomkin_base.png","loomkin_base.png",".png","651700","0.62"
"Assets/UI/Fonts/decorative_font/decorative_font_caps_source.png","decorative_font_caps_source.png",".png","563874","0.54"
"Assets/UI/Hud/hud.png","hud.png",".png","562375","0.54"
"Assets/Enemys/Threadling/threadling.png","threadling.png",".png","501039","0.48"
"Assets/chamber_of_first_weave/Tiles/_archive/generated_versions/graphic_painterly_passes/cotfw_chamber_tileset_atlas_128_graphic_v1.png","cotfw_chamber_tileset_atlas_128_graphic_v1.png",".png","490396","0.47"
"Assets/UI/Fonts/base_gold_font/base_gold_font_caps.png","base_gold_font_caps.png",".png","438559","0.42"
"Assets/Environment/Blossom of Eryndor/Single.png","Single.png",".png","413420","0.39"
"Assets/UI/Fonts/decorative_font/decorative_font_lower_case_source.png","decorative_font_lower_case_source.png",".png","383606","0.37"
"Assets/UI/Fonts/base_gold_font/base_gold_font_lower_case.png","base_gold_font_lower_case.png",".png","313427","0.3"
